Index,Value
0,20.3
1,21.9
2,22.6
3,23.3
4,23.6
5,24.7
6,25.0
7,26.8
8,24.0
9,25.4
10,23.6
11,24.3
12,25.8
13,26.2
14,27.4
15,27.3
16,28.2
17,31.5
18,30.9
19,28.0
20,26.0
21,24.2
22,24.6
23,24.4
24,24.1
25,25.2
26,21.5
27,21.7
28,22.0
29,21.1
30,21.5
31,20.7
32,18.8
33,16.9
34,12.6
35,14.3
36,16.2
37,17.6
38,18.5
39,19.8
40,21.6
41,23.1
42,25.3
43,31.1
44,30.8
45,30.6
46,30.9
47,34.9
48,36.9
49,39.1
50,38.5
51,33.1
52,31.9
53,31.0
54,14.1
55,8.5
56,8.8
57,8.4
58,8.6
59,9.1
60,9.9
61,9.2
62,10.2
63,11.8
64,12.0
65,12.8
66,12.7
67,12.2
68,9.5
69,7.8
70,6.8
71,6.1
72,7.6
73,7.3
74,9.9
75,12.0
76,9.3
77,9.3
78,12.3
79,10.4
80,9.1
81,9.5
82,10.1
83,9.8
84,10.5
85,8.3
86,8.8
87,10.2
88,11.2
89,12.4
90,13.0
91,16.1
92,17.7
93,16.4
94,14.2
95,16.0
96,18.3
97,18.4
98,16.2
99,15.9
100,15.8
101,17.3
102,16.4
103,16.5
104,16.1
105,15.4
106,13.3
107,13.5
108,14.5
109,15.3
110,15.3
111,14.1
112,16.2
113,29.9
114,23.5
115,26.1
116,31.0
117,32.1
118,27.2
119,25.4
120,23.4
121,22.1
122,22.0
123,23.7
124,25.1
125,25.1
126,24.8
127,21.7
128,21.8
129,21.1
130,20.3
131,15.8
132,16.6
133,19.2
134,19.9
135,22.9
136,21.3
137,20.4
138,21.2
139,22.5
140,25.8
141,29.8
142,30.0
143,31.0
144,34.4
145,28.9
146,23.4
147,15.7
148,15.7
149,13.9
150,13.3
151,15.6
152,16.5
153,18.4
154,16.3
155,15.3
156,14.2
157,12.1
158,10.5
159,10.8
160,10.1
161,9.8
162,9.7
163,9.4
164,9.1
165,8.8
166,8.0
167,7.5
168,7.5
169,7.1
170,7.3
171,8.6
172,9.6
173,11.1
174,10.3
175,6.6
176,6.1
177,7.8
178,10.2
179,12.1
180,12.9
181,11.1
182,9.3
183,9.4
184,8.6
185,7.1
186,6.8
187,6.4
188,5.8
189,6.1
190,6.9
191,7.1
192,7.6
193,8.0
194,7.7
195,8.5
196,8.6
197,7.6
198,7.6
199,7.1
200,6.3
201,7.2
202,6.4
203,6.0
204,5.8
205,7.2
206,8.6
207,10.3
208,13.3
209,16.3
210,15.7
211,16.6
212,14.4
213,15.3
214,12.6
215,10.8
216,11.0
217,11.1
218,11.6
219,12.9
220,14.2
221,15.5
222,19.0
223,24.1
224,19.1
225,18.0
226,17.1
227,14.6
228,10.7
229,10.8
230,12.5
231,12.5
232,13.1
233,14.8
234,17.1
235,20.6
236,23.1
237,21.6
238,15.0
239,16.2
240,21.4
241,21.1
242,15.3
243,13.4
244,11.9
245,8.8
246,7.5
247,7.4
248,8.1
249,8.4
250,8.7
251,9.9
252,11.2
253,11.9
254,13.7
255,13.4
256,13.2
257,13.7
258,13.5
259,14.3
260,14.6
261,14.8
262,15.3
263,13.0
264,12.5
265,12.7
266,13.1
267,13.3
268,14.1
269,15.4
270,16.2
271,15.7
272,14.8
273,15.5
274,15.3
275,15.6
276,15.6
277,14.7
278,14.0
279,13.8
280,15.3
281,15.6
282,14.8
283,14.9
284,17.3
285,18.8
286,19.7
287,18.4
288,17.5
289,17.6
290,18.3
291,16.6
292,16.4
293,16.3
294,17.6
295,17.6
296,16.1
297,16.2
298,17.5
299,15.8
300,14.9
301,15.9
302,16.4
303,16.9
304,17.4
305,16.9
306,18.2
307,20.9
308,22.1
309,23.5
310,22.4
311,22.4
312,22.9
313,23.4
314,24.8
315,26.3
316,25.3
317,25.0
318,23.8
319,21.0
320,19.4
321,17.5
322,16.1
323,16.4
324,17.8
