Index,Value
0,33.9
1,33.2
2,31.2
3,30.4
4,28.8
5,29.7
6,28.5
7,28.0
8,22.2
9,17.2
10,18.1
11,17.5
12,16.5
13,16.2
14,14.6
15,11.1
16,10.4
17,9.7
18,7.5
19,6.0
20,8.0
21,14.4
22,17.2
23,20.4
24,25.1
25,25.4
26,24.6
27,23.5
28,21.0
29,20.8
30,19.4
31,17.7
32,18.6
33,18.3
34,17.8
35,19.0
36,18.2
37,18.0
38,18.6
39,19.6
40,19.6
41,20.6
42,25.4
43,27.7
44,26.1
45,25.7
46,26.6
47,25.5
48,25.4
49,24.2
50,23.9
51,20.9
52,19.6
53,19.6
54,21.0
55,20.6
56,17.7
57,16.3
58,13.3
59,10.7
60,10.7
61,11.1
62,9.8
63,12.5
64,12.6
65,13.1
66,13.9
67,11.7
68,12.5
69,14.5
70,17.4
71,13.7
72,10.4
73,10.0
74,9.8
75,11.5
76,13.6
77,11.4
78,12.7
79,9.4
80,8.7
81,8.9
82,9.8
83,9.5
84,12.7
85,13.0
86,12.1
87,11.8
88,11.7
89,14.9
90,16.7
91,12.8
92,12.1
93,12.7
94,13.1
95,15.3
96,15.3
97,15.8
98,16.1
99,15.7
100,16.1
101,16.9
102,18.5
103,18.7
104,17.9
105,17.1
106,17.3
107,18.6
108,18.6
109,18.1
110,18.5
111,18.6
112,19.3
113,18.8
114,17.9
115,18.7
116,21.0
117,23.1
118,23.6
119,22.2
120,22.3
121,24.1
122,24.5
123,25.1
124,23.0
125,19.2
126,19.0
127,18.7
128,18.5
129,18.6
130,17.4
131,17.8
132,18.3
133,17.0
134,18.1
135,17.2
136,18.5
137,18.5
138,18.8
139,18.1
140,18.2
141,21.2
142,20.8
143,19.1
144,17.3
145,17.7
146,18.1
147,16.7
148,14.9
149,15.0
150,16.4
151,17.2
152,15.9
153,16.0
154,16.1
155,16.0
156,16.4
157,16.5
158,14.2
159,12.1
160,10.1
161,6.9
162,6.3
163,5.7
164,6.1
165,5.7
166,4.1
167,3.8
168,3.7
169,3.6
170,3.8
171,4.1
172,4.2
173,4.6
174,4.7
175,5.7
176,3.9
177,5.6
178,7.0
179,8.4
180,7.5
181,7.7
182,6.6
183,6.0
184,5.7
185,5.7
186,5.8
187,5.6
188,6.4
189,7.1
190,7.1
191,6.9
192,6.8
193,6.7
194,6.4
195,6.1
196,6.2
197,7.2
198,7.0
199,7.3
200,7.6
201,13.8
202,15.9
203,6.5
204,5.5
205,5.4
206,5.4
207,5.1
208,6.2
209,10.3
210,10.9
211,10.7
212,11.8
213,9.7
214,8.6
215,8.5
216,9.2
217,11.5
218,11.5
219,11.6
220,11.6
221,11.8
222,12.6
223,11.7
224,12.4
225,13.8
226,13.8
227,13.9
228,14.3
229,14.5
230,14.1
231,15.2
232,15.0
233,16.7
234,19.3
235,19.3
236,18.2
237,14.8
238,14.7
239,18.3
240,22.0
241,22.8
242,21.5
243,20.3
244,19.6
245,17.3
246,17.2
247,17.3
248,15.1
249,15.2
250,15.3
251,13.5
252,12.3
253,11.2
254,10.6
255,11.1
256,11.1
257,12.5
258,12.1
259,12.3
260,11.7
261,12.2
262,12.2
263,12.7
264,13.0
265,13.9
266,14.6
267,14.8
268,14.9
269,15.8
270,16.3
271,17.0
272,16.6
273,18.0
274,18.0
275,20.4
276,19.5
277,17.3
278,15.6
279,16.5
280,15.5
281,16.2
282,16.0
283,18.1
284,20.6
285,21.2
286,19.7
287,18.7
288,19.1
289,20.6
290,19.3
291,18.6
292,17.8
293,18.7
294,19.4
295,18.1
296,18.7
297,20.1
298,21.1
299,18.6
300,17.5
301,17.9
302,18.7
303,18.5
304,19.6
305,19.3
306,17.7
307,18.3
308,19.2
309,19.5
310,20.3
311,21.2
312,22.0
313,23.6
314,23.9
315,24.7
316,25.5
317,25.1
318,23.3
319,22.4
320,20.9
321,16.3
322,16.7
323,18.3
324,19.3
325,20.1
326,17.8
327,17.0
328,17.4
329,18.7
330,18.4
331,13.2
332,15.4
333,14.9
334,14.0
335,8.3
336,6.5
337,7.0
338,8.3
339,8.0
340,8.3
341,8.8
342,9.5
343,8.9
344,8.1
345,7.3
346,7.9
347,8.4
348,8.2
349,8.2
350,8.5
351,10.3
352,12.2
353,13.1
354,13.8
355,13.3
356,13.7
357,11.6
358,10.0
359,9.9
360,9.8
361,10.6
362,8.6
363,7.4
364,6.9
365,7.0
366,8.9
367,10.0
368,10.1
369,9.1
370,8.9
371,7.7
372,6.2
373,7.5
374,6.4
375,4.9
376,4.8
377,5.7
378,5.7
379,5.9
380,5.7
381,4.9
382,4.7
383,4.2
384,4.5
385,4.6
386,3.8
387,3.8
388,3.6
389,3.5
390,4.0
391,3.9
392,3.5
393,4.8
394,6.1
395,6.1
396,6.7
397,6.4
398,6.5
399,6.8
400,6.8
401,6.6
402,5.4
403,4.9
404,4.0
405,4.5
406,5.3
407,4.8
408,5.5
409,6.2
410,6.4
411,6.5
412,7.0
413,7.4
414,7.6
415,7.6
416,6.9
417,6.8
418,10.5
419,12.6
420,12.0
421,11.0
422,11.6
423,11.7
424,10.9
425,12.2
426,13.4
427,11.8
428,7.9
429,7.7
430,8.1
431,9.4
432,10.9
433,11.1
434,10.8
435,10.2
436,12.2
437,14.0
438,14.1
439,14.5
440,12.9
441,10.6
442,8.8
443,7.5
444,7.4
445,9.0
446,10.8
447,12.3
448,15.4
449,17.6
450,16.4
451,14.6
452,13.2
453,8.0
454,6.0
455,5.8
456,5.3
457,5.8
458,5.9
459,6.1
460,7.6
461,8.6
462,9.6
463,10.8
464,15.8
465,21.6
466,24.6
467,18.5
468,13.9
469,12.0
470,12.3
471,9.9
472,8.4
473,7.1
474,7.6
475,7.9
476,7.5
477,7.1
478,6.7
479,6.2
480,5.5
481,4.4
482,3.7
483,3.2
484,2.5
485,2.5
486,3.3
487,4.8
488,5.5
489,5.8
490,4.8
491,4.1
492,3.9
493,3.8
494,4.2
495,4.2
496,4.4
497,4.7
498,4.5
499,4.5
500,4.5
501,4.1
502,4.7
503,4.4
504,4.1
505,4.0
506,3.8
507,3.7
508,4.0
509,4.5
510,5.1
511,5.7
512,5.9
513,5.0
514,5.0
515,4.6
516,4.8
517,5.4
518,4.9
519,4.9
520,5.6
521,7.8
522,9.7
523,9.4
524,12.1
525,11.2
526,9.7
527,8.8
528,7.7
529,7.2
530,7.0
531,6.7
532,7.0
533,8.0
534,8.8
535,9.6
536,9.1
537,7.1
538,5.9
539,6.3
540,5.9
541,5.6
542,5.5
543,5.9
544,6.5
545,7.5
546,8.1
547,11.9
548,13.4
549,14.1
550,13.5
551,10.5
552,12.8
553,13.6
554,9.8
555,6.5
556,8.4
557,10.6
558,9.2
559,12.2
560,17.4
561,19.6
562,17.0
563,17.5
564,17.6
565,17.4
566,18.4
567,19.3
568,18.9
569,20.1
570,18.8
571,20.0
572,19.2
573,21.2
574,22.9
575,24.0
576,22.1
577,21.0
578,19.9
579,17.5
580,16.8
581,16.6
582,14.9
583,12.4
584,10.3
585,9.4
586,6.6
587,6.5
588,5.3
589,4.6
590,3.4
591,3.2
592,3.1
593,3.4
594,4.9
595,5.5
596,8.0
597,8.2
598,6.9
599,6.5
600,6.5
601,5.8
602,4.3
603,3.8
604,3.7
605,3.3
606,2.8
607,2.8
608,2.6
609,4.8
610,6.6
611,8.5
612,7.8
613,7.1
614,5.8
615,4.6
616,4.1
617,4.7
618,4.2
619,4.0
620,5.2
621,6.0
622,6.6
623,6.3
624,6.1
625,6.7
626,7.2
627,7.8
628,8.0
629,7.0
630,7.1
631,8.4
632,12.6
633,14.8
634,12.4
635,10.6
636,9.2
637,9.0
638,8.6
639,8.2
640,9.4
641,12.2
642,11.9
643,11.3
644,10.7
645,12.8
646,10.4
647,11.1
648,10.6
649,9.9
650,10.4
651,9.8
652,9.3
653,9.7
654,10.2
655,12.5
656,19.5
657,18.2
658,14.8
659,9.5
660,8.2
661,7.9
662,7.4
663,8.1
664,10.7
665,15.3
666,20.1
667,19.5
668,26.2
669,26.7
670,23.1
671,23.0
672,22.8
673,19.6
674,17.4
675,19.4
676,21.2
677,21.7
678,21.0
679,18.8
680,13.7
681,11.6
682,13.8
683,14.0
684,10.3
685,10.0
686,9.9
687,8.5
688,8.9
689,9.5
690,10.8
691,12.6
692,12.5
693,10.7
694,9.4
695,9.1
696,7.4
697,7.4
698,8.4
699,8.7
700,8.1
701,7.1
702,7.0
703,7.3
704,7.8
705,8.2
706,8.9
707,8.9
708,8.8
709,8.7
710,9.0
711,9.3
712,9.4
713,8.9
714,8.6
715,6.6
716,6.3
717,6.6
718,8.1
719,7.8
720,7.0
721,6.9
722,6.5
723,6.0
724,5.1
725,5.3
726,5.8
727,6.2
728,6.7
729,8.2
730,9.3
731,9.0
732,7.8
733,6.0
734,5.8
735,5.8
736,4.5
737,6.0
738,5.7
739,5.6
740,5.5
741,4.5
742,4.6
743,4.6
744,4.8
745,4.7
746,5.1
747,5.5
748,5.6
749,6.4
750,7.1
751,6.5
752,6.2
753,5.4
754,7.8
755,7.8
756,7.9
757,7.4
758,9.5
759,10.2
760,11.3
761,10.7
762,10.8
763,9.5
764,9.2
765,8.1
766,7.9
767,6.8
768,6.2
769,6.2
770,7.3
771,8.3
772,8.8
773,9.1
774,11.4
775,10.7
776,9.0
777,8.8
778,6.9
779,8.2
780,9.5
781,9.5
782,10.1
783,9.6
784,9.4
785,10.0
786,10.2
787,8.6
788,8.5
789,8.9
790,9.3
791,9.8
792,9.8
793,10.0
794,11.0
795,12.7
796,13.5
797,13.7
798,26.2
799,18.6
800,11.0
801,10.0
802,7.0
803,6.3
804,9.6
805,11.1
806,12.9
807,11.7
808,12.1
809,16.0
810,17.0
811,18.3
812,19.3
813,19.3
814,20.0
815,18.3
816,17.4
817,16.9
818,16.6
819,16.3
820,17.9
821,17.8
822,16.7
823,15.1
824,14.5
825,14.1
826,12.3
827,12.2
828,12.4
829,9.6
830,11.5
831,14.1
832,8.5
833,6.2
834,6.5
835,7.2
836,10.4
837,9.6
838,10.5
839,10.1
840,8.4
841,8.0
842,8.2
843,8.4
844,8.4
845,8.6
846,9.1
847,11.8
848,13.9
849,13.9
850,12.6
851,11.8
852,12.2
853,11.7
854,10.6
855,9.2
856,8.0
857,7.3
858,7.5
859,7.9
860,7.6
861,7.1
862,7.2
863,6.9
864,6.9
865,7.3
866,6.9
867,7.1
868,7.4
869,7.8
870,11.9
871,14.8
872,18.3
873,15.2
874,13.2
875,14.0
876,14.0
877,13.2
878,11.9
879,9.4
880,7.5
