Index,Value
0,14.8
1,14.1
2,13.5
3,13.7
4,13.8
5,13.9
6,14.0
7,16.1
8,20.4
9,22.8
10,22.5
11,23.8
12,24.6
13,24.7
14,25.6
15,25.2
16,25.2
17,25.3
18,24.3
19,24.6
20,25.2
21,26.3
22,32.6
23,29.1
24,23.1
25,21.0
26,20.5
27,19.3
28,18.8
29,15.0
30,15.7
31,17.8
32,18.8
33,15.0
34,11.0
35,12.2
36,11.5
37,13.0
38,13.2
39,13.5
40,14.0
41,15.2
42,17.7
43,17.6
44,19.3
45,20.1
46,22.1
47,22.8
48,24.4
49,28.3
50,27.3
51,22.3
52,18.7
53,19.0
54,22.9
55,21.3
56,18.5
57,17.0
58,16.4
59,17.8
60,15.8
61,15.1
62,15.9
63,14.8
64,11.4
65,11.8
66,10.9
67,10.7
68,12.0
69,11.4
70,8.5
71,8.8
72,8.2
73,7.3
74,6.7
75,7.0
76,7.7
77,8.6
78,10.2
79,11.2
80,11.6
81,11.2
82,10.6
83,11.2
84,12.1
85,10.8
86,11.4
87,12.0
88,12.5
89,10.9
90,13.1
91,13.4
92,13.1
93,14.1
94,16.9
95,19.9
96,20.0
97,16.3
98,15.0
99,14.2
100,13.8
101,13.0
102,12.4
103,12.4
104,12.1
105,12.1
106,12.5
107,13.1
108,14.4
109,13.6
110,13.6
111,15.0
112,19.6
113,23.5
114,24.0
115,24.7
116,25.7
117,22.7
118,23.0
119,29.1
120,30.2
121,33.8
122,36.9
123,32.5
124,26.6
125,26.6
126,26.0
127,23.7
128,24.1
129,25.3
130,24.0
131,19.3
132,16.8
133,19.8
134,20.0
135,17.7
136,18.2
137,20.0
138,21.4
139,21.8
140,24.2
141,26.1
142,26.7
143,28.2
144,25.7
145,27.8
146,28.6
147,21.9
148,18.7
149,19.2
150,22.7
151,21.5
152,19.8
153,17.9
154,24.5
155,16.1
156,14.4
157,12.0
158,11.6
159,11.4
160,13.7
161,14.9
162,14.1
163,17.0
164,19.2
165,21.1
166,20.3
167,19.1
168,18.1
169,18.5
170,17.0
171,15.1
172,13.7
173,13.6
174,13.4
175,13.8
176,14.0
177,12.3
178,8.5
179,8.3
180,10.0
181,9.0
182,10.6
183,10.9
184,12.3
185,15.4
186,15.1
187,16.4
188,17.4
189,18.1
190,17.4
191,14.7
192,12.4
193,11.6
194,12.3
195,12.8
196,12.1
197,10.9
198,10.4
199,9.1
200,7.1
201,6.7
202,6.8
203,7.4
204,8.9
205,8.1
206,8.0
207,8.0
208,7.9
209,8.7
210,9.3
211,10.7
212,11.3
213,10.7
214,10.5
215,13.1
216,15.8
217,16.5
218,17.8
219,24.3
220,14.9
221,12.4
222,11.5
223,11.3
224,11.8
225,9.3
226,9.7
227,10.6
228,10.7
229,10.0
230,11.0
231,16.8
232,18.2
233,17.2
234,17.2
235,18.3
236,17.0
237,15.0
238,17.1
239,21.0
240,23.2
241,21.9
242,16.1
243,12.5
244,10.1
245,8.1
246,8.0
247,7.6
248,7.7
249,8.1
250,8.9
251,10.6
252,12.8
253,12.1
254,11.8
255,12.2
256,12.6
257,12.7
258,12.8
259,12.4
260,12.2
261,12.1
262,12.1
263,12.3
264,12.6
265,12.8
266,13.1
267,12.9
268,13.8
269,13.3
270,13.4
271,14.0
272,14.4
273,15.5
274,17.5
275,17.1
276,15.5
277,13.6
278,13.0
279,12.3
280,12.6
281,12.0
282,11.2
283,11.7
284,13.6
285,14.6
286,14.7
287,14.9
288,14.7
289,15.8
290,15.8
291,17.6
292,17.0
293,17.1
294,15.8
295,16.0
296,15.3
297,13.0
298,17.7
299,17.1
300,16.6
301,14.1
302,14.3
303,16.1
304,16.7
305,17.0
306,17.8
307,18.0
308,18.5
309,17.8
310,19.2
311,20.7
312,23.6
313,23.8
314,22.2
315,22.7
316,22.3
317,22.5
318,24.3
319,23.9
320,23.5
321,21.9
322,19.4
323,19.4
324,18.9
325,18.8
326,19.6
327,21.5
328,23.4
329,18.1
330,11.4
331,11.8
332,9.9
333,8.7
334,9.4
335,5.9
336,4.1
337,4.0
338,5.2
339,4.0
340,3.8
341,4.3
342,4.2
343,4.3
344,4.6
345,5.0
346,6.6
347,7.5
348,7.6
349,7.9
350,7.2
351,8.2
352,8.5
353,6.3
354,6.4
355,7.1
356,9.1
357,10.0
358,9.5
359,9.9
360,8.6
361,7.8
362,7.7
363,7.2
364,6.8
365,6.7
366,5.5
367,4.4
368,4.3
369,4.5
370,4.2
371,3.6
372,3.0
373,3.3
374,3.2
375,3.1
376,2.9
377,3.2
378,3.1
379,3.3
380,3.6
381,3.6
382,3.5
383,3.2
384,3.2
385,2.0
386,2.3
387,1.9
388,1.8
389,2.0
390,2.6
391,3.1
392,3.4
393,1.6
394,2.3
395,2.2
396,1.9
397,2.0
398,2.7
399,2.9
400,3.2
401,3.6
402,3.7
403,2.6
404,3.0
405,3.8
406,4.7
407,5.0
408,5.4
409,5.3
410,5.3
411,5.2
412,5.7
413,8.7
414,11.0
415,11.8
416,12.4
417,13.4
418,11.2
419,11.7
420,11.2
421,6.5
422,5.0
423,6.5
424,8.5
425,8.6
426,9.2
427,10.9
428,8.1
429,5.8
430,6.5
431,8.0
432,12.6
433,13.0
434,10.5
435,8.1
436,7.2
437,7.0
438,6.4
439,6.5
440,6.5
441,6.3
442,6.4
443,6.8
444,7.2
445,7.2
446,7.8
447,7.3
448,7.2
449,8.8
450,5.4
451,4.3
452,4.7
453,4.9
454,5.5
455,5.8
456,5.7
457,6.0
458,5.6
459,5.5
460,7.3
461,7.7
462,8.1
463,7.4
464,6.7
465,5.6
466,6.5
467,7.5
468,7.4
469,7.3
470,7.2
471,7.8
472,8.7
473,8.3
474,6.5
475,5.4
476,4.2
477,3.6
478,2.9
479,2.2
480,1.8
481,1.6
482,1.6
483,1.5
484,1.4
485,1.4
486,1.4
487,1.5
488,1.6
489,2.0
490,2.7
491,3.3
492,3.4
493,3.4
494,3.8
495,4.0
496,3.9
497,3.4
498,3.6
499,3.7
500,4.1
501,3.4
502,3.0
503,2.8
504,2.8
505,2.8
506,2.9
507,2.6
508,2.6
509,2.5
510,2.6
511,2.6
512,3.0
513,3.2
514,3.4
515,3.2
516,2.8
517,2.8
518,2.9
519,3.3
520,4.6
521,4.4
522,5.1
523,4.8
524,4.8
525,4.9
526,4.9
527,5.2
528,5.2
529,5.2
530,5.0
531,4.7
532,5.0
533,4.1
534,4.5
535,3.7
536,3.1
537,4.0
538,3.6
539,4.5
540,4.3
541,5.1
542,5.9
543,6.1
544,6.8
545,6.0
546,6.4
547,7.6
548,8.9
549,10.8
550,12.1
551,13.4
552,14.4
553,14.8
554,13.5
