Index,Value
0,12.6
1,11.5
2,10.9
3,10.7
4,9.8
5,9.4
6,9.4
7,9.6
8,9.4
9,10.1
10,11.8
11,11.5
12,11.5
13,12.2
14,12.8
15,13.6
16,13.6
17,13.8
18,13.1
19,13.5
20,13.3
21,14.3
22,15.3
23,16.8
24,17.9
25,17.9
26,16.8
27,17.9
28,16.9
29,15.7
30,13.1
31,11.4
32,10.9
33,9.8
34,7.9
35,6.7
36,7.8
37,9.4
38,10.2
39,9.7
40,9.8
41,9.4
42,9.8
43,9.4
44,9.9
45,11.4
46,13.6
47,16.8
48,19.4
49,19.3
50,18.9
51,16.8
52,14.8
53,13.6
54,13.1
55,11.2
56,11.8
57,10.3
58,8.5
59,7.4
60,6.9
61,7.0
62,7.0
63,6.8
64,7.3
65,8.0
66,9.0
67,9.9
68,11.1
69,11.2
70,10.9
71,10.4
72,10.4
73,12.5
74,14.0
75,16.3
76,17.7
77,18.3
78,19.1
79,20.5
80,21.2
81,20.2
82,21.2
83,19.5
84,19.2
85,19.5
86,19.4
87,16.8
88,18.7
89,20.4
90,20.9
91,22.2
92,23.6
93,23.3
94,22.7
95,22.2
96,19.6
97,17.4
98,14.8
99,13.2
100,11.2
101,10.3
102,9.6
103,9.4
104,9.3
105,9.4
106,9.2
107,9.2
108,9.3
109,8.0
110,7.2
111,8.0
112,7.7
113,7.2
114,6.9
115,4.9
116,5.2
117,4.8
118,4.2
119,4.2
120,6.0
121,4.8
122,4.2
123,5.5
124,6.2
125,6.6
126,6.5
127,6.2
128,6.6
129,7.4
130,7.8
131,7.8
132,8.0
133,7.8
134,7.9
135,8.1
136,8.2
137,8.8
138,8.5
139,9.2
140,7.5
141,7.2
142,6.3
143,6.1
144,5.9
145,6.0
146,6.2
147,6.4
148,6.8
149,6.4
150,6.1
151,6.6
152,8.4
153,8.5
154,7.6
155,7.5
156,6.6
157,6.8
158,7.4
159,6.7
160,8.8
161,8.3
162,8.7
163,5.6
164,5.3
165,5.1
166,4.7
167,5.0
168,8.8
169,10.2
170,9.7
171,9.2
172,8.9
173,8.5
174,8.2
175,8.1
176,7.9
177,7.3
178,6.9
179,6.3
180,6.0
181,5.8
182,6.0
183,6.2
184,6.1
185,6.5
186,6.1
187,6.2
188,7.5
189,8.9
190,7.2
191,7.6
192,8.8
193,10.4
194,11.8
195,12.8
196,14.2
197,13.7
198,11.6
199,10.4
200,9.1
201,7.1
202,6.8
203,7.2
204,7.1
205,7.2
206,7.7
207,8.5
208,8.9
209,9.6
210,10.2
211,11.3
212,11.9
213,12.2
214,12.8
215,11.7
216,11.6
217,12.2
218,12.6
219,13.3
220,12.9
221,12.7
222,12.2
223,12.1
224,11.9
225,10.9
226,9.7
227,8.6
228,8.3
229,7.6
230,7.2
231,7.4
232,8.5
233,9.5
234,9.7
235,10.2
236,10.2
237,10.8
238,12.2
239,13.5
240,13.7
241,16.7
242,18.6
243,14.7
244,10.6
245,9.7
246,8.8
247,8.4
248,8.8
249,9.9
250,9.4
251,8.6
252,8.4
253,8.5
254,8.0
255,8.2
256,8.6
257,8.9
258,8.8
259,9.3
260,8.7
261,8.0
262,8.1
263,8.2
264,8.9
265,9.6
266,9.7
267,10.1
268,10.7
269,10.0
270,9.6
271,9.6
272,10.2
273,10.6
274,11.2
275,11.1
276,10.6
277,9.9
278,9.4
279,9.6
280,9.0
281,9.1
282,10.2
283,14.5
284,15.2
285,16.7
286,17.7
287,17.5
288,17.1
289,16.9
290,17.0
291,16.6
292,16.9
293,17.5
294,17.4
295,17.2
296,16.5
297,15.5
298,13.2
299,10.8
300,9.0
301,7.9
302,7.1
303,6.4
304,5.7
305,6.1
306,5.8
