,State Code,County Code,County Code,Parameter Code,Latitude,Longitude,Date Local,Time Local,Date GMT,Time GMT,Parameter Name,Sample Measurement,County Name
24853,55,79,79,81102,43.060975,-87.913504,2020-01-02,20:00,2020-01-03,02:00,PM10 Total 0-10um STP,15.8,Milwaukee
24854,55,79,79,81102,43.060975,-87.913504,2020-01-02,21:00,2020-01-03,03:00,PM10 Total 0-10um STP,15.4,Milwaukee
24855,55,79,79,81102,43.060975,-87.913504,2020-01-02,22:00,2020-01-03,04:00,PM10 Total 0-10um STP,13.4,Milwaukee
24856,55,79,79,81102,43.060975,-87.913504,2020-01-02,23:00,2020-01-03,05:00,PM10 Total 0-10um STP,12.2,Milwaukee
24857,55,79,79,81102,43.060975,-87.913504,2020-01-03,00:00,2020-01-03,06:00,PM10 Total 0-10um STP,9.6,Milwaukee
24858,55,79,79,81102,43.060975,-87.913504,2020-01-03,01:00,2020-01-03,07:00,PM10 Total 0-10um STP,10.3,Milwaukee
24859,55,79,79,81102,43.060975,-87.913504,2020-01-03,02:00,2020-01-03,08:00,PM10 Total 0-10um STP,10.2,Milwaukee
24860,55,79,79,81102,43.060975,-87.913504,2020-01-03,03:00,2020-01-03,09:00,PM10 Total 0-10um STP,10.3,Milwaukee
24861,55,79,79,81102,43.060975,-87.913504,2020-01-03,04:00,2020-01-03,10:00,PM10 Total 0-10um STP,11.7,Milwaukee
24862,55,79,79,81102,43.060975,-87.913504,2020-01-03,05:00,2020-01-03,11:00,PM10 Total 0-10um STP,12.8,Milwaukee
24863,55,79,79,81102,43.060975,-87.913504,2020-01-03,06:00,2020-01-03,12:00,PM10 Total 0-10um STP,14.1,Milwaukee
24864,55,79,79,81102,43.060975,-87.913504,2020-01-03,07:00,2020-01-03,13:00,PM10 Total 0-10um STP,13.7,Milwaukee
24865,55,79,79,81102,43.060975,-87.913504,2020-01-03,08:00,2020-01-03,14:00,PM10 Total 0-10um STP,21.1,Milwaukee
24866,55,79,79,81102,43.060975,-87.913504,2020-01-03,09:00,2020-01-03,15:00,PM10 Total 0-10um STP,28.1,Milwaukee
24867,55,79,79,81102,43.060975,-87.913504,2020-01-03,10:00,2020-01-03,16:00,PM10 Total 0-10um STP,20.1,Milwaukee
24868,55,79,79,81102,43.060975,-87.913504,2020-01-03,11:00,2020-01-03,17:00,PM10 Total 0-10um STP,22.4,Milwaukee
24869,55,79,79,81102,43.060975,-87.913504,2020-01-03,12:00,2020-01-03,18:00,PM10 Total 0-10um STP,27.7,Milwaukee
24870,55,79,79,81102,43.060975,-87.913504,2020-01-03,13:00,2020-01-03,19:00,PM10 Total 0-10um STP,27.6,Milwaukee
24871,55,79,79,81102,43.060975,-87.913504,2020-01-03,14:00,2020-01-03,20:00,PM10 Total 0-10um STP,36.8,Milwaukee
24872,55,79,79,81102,43.060975,-87.913504,2020-01-03,15:00,2020-01-03,21:00,PM10 Total 0-10um STP,18.7,Milwaukee
24873,55,79,79,81102,43.060975,-87.913504,2020-01-03,16:00,2020-01-03,22:00,PM10 Total 0-10um STP,18.8,Milwaukee
24874,55,79,79,81102,43.060975,-87.913504,2020-01-03,17:00,2020-01-03,23:00,PM10 Total 0-10um STP,20.0,Milwaukee
24875,55,79,79,81102,43.060975,-87.913504,2020-01-03,18:00,2020-01-04,00:00,PM10 Total 0-10um STP,16.1,Milwaukee
24876,55,79,79,81102,43.060975,-87.913504,2020-01-03,19:00,2020-01-04,01:00,PM10 Total 0-10um STP,17.6,Milwaukee
24877,55,79,79,81102,43.060975,-87.913504,2020-01-03,20:00,2020-01-04,02:00,PM10 Total 0-10um STP,14.7,Milwaukee
24878,55,79,79,81102,43.060975,-87.913504,2020-01-03,21:00,2020-01-04,03:00,PM10 Total 0-10um STP,15.4,Milwaukee
24879,55,79,79,81102,43.060975,-87.913504,2020-01-03,22:00,2020-01-04,04:00,PM10 Total 0-10um STP,16.0,Milwaukee
24880,55,79,79,81102,43.060975,-87.913504,2020-01-03,23:00,2020-01-04,05:00,PM10 Total 0-10um STP,14.9,Milwaukee
24881,55,79,79,81102,43.060975,-87.913504,2020-01-04,00:00,2020-01-04,06:00,PM10 Total 0-10um STP,14.0,Milwaukee
24882,55,79,79,81102,43.060975,-87.913504,2020-01-04,01:00,2020-01-04,07:00,PM10 Total 0-10um STP,13.5,Milwaukee
24883,55,79,79,81102,43.060975,-87.913504,2020-01-04,02:00,2020-01-04,08:00,PM10 Total 0-10um STP,14.0,Milwaukee
24884,55,79,79,81102,43.060975,-87.913504,2020-01-04,03:00,2020-01-04,09:00,PM10 Total 0-10um STP,14.5,Milwaukee
24885,55,79,79,81102,43.060975,-87.913504,2020-01-04,04:00,2020-01-04,10:00,PM10 Total 0-10um STP,14.4,Milwaukee
24886,55,79,79,81102,43.060975,-87.913504,2020-01-04,05:00,2020-01-04,11:00,PM10 Total 0-10um STP,13.4,Milwaukee
24887,55,79,79,81102,43.060975,-87.913504,2020-01-04,06:00,2020-01-04,12:00,PM10 Total 0-10um STP,12.0,Milwaukee
24888,55,79,79,81102,43.060975,-87.913504,2020-01-04,07:00,2020-01-04,13:00,PM10 Total 0-10um STP,9.9,Milwaukee
24889,55,79,79,81102,43.060975,-87.913504,2020-01-04,08:00,2020-01-04,14:00,PM10 Total 0-10um STP,8.0,Milwaukee
24890,55,79,79,81102,43.060975,-87.913504,2020-01-04,09:00,2020-01-04,15:00,PM10 Total 0-10um STP,6.8,Milwaukee
24891,55,79,79,81102,43.060975,-87.913504,2020-01-04,10:00,2020-01-04,16:00,PM10 Total 0-10um STP,12.4,Milwaukee
24892,55,79,79,81102,43.060975,-87.913504,2020-01-04,11:00,2020-01-04,17:00,PM10 Total 0-10um STP,10.7,Milwaukee
24893,55,79,79,81102,43.060975,-87.913504,2020-01-04,12:00,2020-01-04,18:00,PM10 Total 0-10um STP,13.1,Milwaukee
24894,55,79,79,81102,43.060975,-87.913504,2020-01-04,13:00,2020-01-04,19:00,PM10 Total 0-10um STP,11.2,Milwaukee
24895,55,79,79,81102,43.060975,-87.913504,2020-01-04,14:00,2020-01-04,20:00,PM10 Total 0-10um STP,12.7,Milwaukee
24896,55,79,79,81102,43.060975,-87.913504,2020-01-04,15:00,2020-01-04,21:00,PM10 Total 0-10um STP,9.0,Milwaukee
24897,55,79,79,81102,43.060975,-87.913504,2020-01-04,16:00,2020-01-04,22:00,PM10 Total 0-10um STP,11.3,Milwaukee
24898,55,79,79,81102,43.060975,-87.913504,2020-01-04,17:00,2020-01-04,23:00,PM10 Total 0-10um STP,10.2,Milwaukee
24899,55,79,79,81102,43.060975,-87.913504,2020-01-04,18:00,2020-01-05,00:00,PM10 Total 0-10um STP,9.5,Milwaukee
24900,55,79,79,81102,43.060975,-87.913504,2020-01-04,19:00,2020-01-05,01:00,PM10 Total 0-10um STP,9.6,Milwaukee
24901,55,79,79,81102,43.060975,-87.913504,2020-01-04,20:00,2020-01-05,02:00,PM10 Total 0-10um STP,10.3,Milwaukee
24902,55,79,79,81102,43.060975,-87.913504,2020-01-04,21:00,2020-01-05,03:00,PM10 Total 0-10um STP,12.1,Milwaukee
24903,55,79,79,81102,43.060975,-87.913504,2020-01-04,22:00,2020-01-05,04:00,PM10 Total 0-10um STP,15.2,Milwaukee
24904,55,79,79,81102,43.060975,-87.913504,2020-01-04,23:00,2020-01-05,05:00,PM10 Total 0-10um STP,14.3,Milwaukee
24905,55,79,79,81102,43.060975,-87.913504,2020-01-05,00:00,2020-01-05,06:00,PM10 Total 0-10um STP,12.1,Milwaukee
24906,55,79,79,81102,43.060975,-87.913504,2020-01-05,01:00,2020-01-05,07:00,PM10 Total 0-10um STP,9.3,Milwaukee
24907,55,79,79,81102,43.060975,-87.913504,2020-01-05,02:00,2020-01-05,08:00,PM10 Total 0-10um STP,9.1,Milwaukee
24908,55,79,79,81102,43.060975,-87.913504,2020-01-05,03:00,2020-01-05,09:00,PM10 Total 0-10um STP,9.6,Milwaukee
24909,55,79,79,81102,43.060975,-87.913504,2020-01-05,04:00,2020-01-05,10:00,PM10 Total 0-10um STP,9.8,Milwaukee
24910,55,79,79,81102,43.060975,-87.913504,2020-01-05,05:00,2020-01-05,11:00,PM10 Total 0-10um STP,8.9,Milwaukee
24911,55,79,79,81102,43.060975,-87.913504,2020-01-05,06:00,2020-01-05,12:00,PM10 Total 0-10um STP,8.9,Milwaukee
24912,55,79,79,81102,43.060975,-87.913504,2020-01-05,07:00,2020-01-05,13:00,PM10 Total 0-10um STP,10.5,Milwaukee
24913,55,79,79,81102,43.060975,-87.913504,2020-01-05,08:00,2020-01-05,14:00,PM10 Total 0-10um STP,12.8,Milwaukee
24914,55,79,79,81102,43.060975,-87.913504,2020-01-05,09:00,2020-01-05,15:00,PM10 Total 0-10um STP,15.7,Milwaukee
24915,55,79,79,81102,43.060975,-87.913504,2020-01-05,10:00,2020-01-05,16:00,PM10 Total 0-10um STP,19.3,Milwaukee
24916,55,79,79,81102,43.060975,-87.913504,2020-01-05,11:00,2020-01-05,17:00,PM10 Total 0-10um STP,30.9,Milwaukee
24917,55,79,79,81102,43.060975,-87.913504,2020-01-05,12:00,2020-01-05,18:00,PM10 Total 0-10um STP,38.2,Milwaukee
24918,55,79,79,81102,43.060975,-87.913504,2020-01-05,13:00,2020-01-05,19:00,PM10 Total 0-10um STP,29.5,Milwaukee
24919,55,79,79,81102,43.060975,-87.913504,2020-01-05,14:00,2020-01-05,20:00,PM10 Total 0-10um STP,22.0,Milwaukee
24920,55,79,79,81102,43.060975,-87.913504,2020-01-05,15:00,2020-01-05,21:00,PM10 Total 0-10um STP,18.7,Milwaukee
24921,55,79,79,81102,43.060975,-87.913504,2020-01-05,16:00,2020-01-05,22:00,PM10 Total 0-10um STP,16.5,Milwaukee
24922,55,79,79,81102,43.060975,-87.913504,2020-01-05,17:00,2020-01-05,23:00,PM10 Total 0-10um STP,13.1,Milwaukee
24923,55,79,79,81102,43.060975,-87.913504,2020-01-05,18:00,2020-01-06,00:00,PM10 Total 0-10um STP,11.4,Milwaukee
24924,55,79,79,81102,43.060975,-87.913504,2020-01-05,19:00,2020-01-06,01:00,PM10 Total 0-10um STP,13.4,Milwaukee
24925,55,79,79,81102,43.060975,-87.913504,2020-01-05,20:00,2020-01-06,02:00,PM10 Total 0-10um STP,15.0,Milwaukee
24926,55,79,79,81102,43.060975,-87.913504,2020-01-05,21:00,2020-01-06,03:00,PM10 Total 0-10um STP,11.9,Milwaukee
24927,55,79,79,81102,43.060975,-87.913504,2020-01-05,22:00,2020-01-06,04:00,PM10 Total 0-10um STP,11.4,Milwaukee
24928,55,79,79,81102,43.060975,-87.913504,2020-01-05,23:00,2020-01-06,05:00,PM10 Total 0-10um STP,10.0,Milwaukee
24929,55,79,79,81102,43.060975,-87.913504,2020-01-06,00:00,2020-01-06,06:00,PM10 Total 0-10um STP,9.5,Milwaukee
24930,55,79,79,81102,43.060975,-87.913504,2020-01-06,01:00,2020-01-06,07:00,PM10 Total 0-10um STP,10.0,Milwaukee
24931,55,79,79,81102,43.060975,-87.913504,2020-01-06,02:00,2020-01-06,08:00,PM10 Total 0-10um STP,9.1,Milwaukee
24932,55,79,79,81102,43.060975,-87.913504,2020-01-06,03:00,2020-01-06,09:00,PM10 Total 0-10um STP,8.6,Milwaukee
24933,55,79,79,81102,43.060975,-87.913504,2020-01-06,04:00,2020-01-06,10:00,PM10 Total 0-10um STP,9.1,Milwaukee
24934,55,79,79,81102,43.060975,-87.913504,2020-01-06,05:00,2020-01-06,11:00,PM10 Total 0-10um STP,9.8,Milwaukee
24935,55,79,79,81102,43.060975,-87.913504,2020-01-06,06:00,2020-01-06,12:00,PM10 Total 0-10um STP,13.5,Milwaukee
24936,55,79,79,81102,43.060975,-87.913504,2020-01-06,07:00,2020-01-06,13:00,PM10 Total 0-10um STP,19.4,Milwaukee
24937,55,79,79,81102,43.060975,-87.913504,2020-01-06,08:00,2020-01-06,14:00,PM10 Total 0-10um STP,15.7,Milwaukee
24938,55,79,79,81102,43.060975,-87.913504,2020-01-06,09:00,2020-01-06,15:00,PM10 Total 0-10um STP,12.3,Milwaukee
24939,55,79,79,81102,43.060975,-87.913504,2020-01-06,10:00,2020-01-06,16:00,PM10 Total 0-10um STP,13.2,Milwaukee
24940,55,79,79,81102,43.060975,-87.913504,2020-01-06,11:00,2020-01-06,17:00,PM10 Total 0-10um STP,16.1,Milwaukee
24941,55,79,79,81102,43.060975,-87.913504,2020-01-06,12:00,2020-01-06,18:00,PM10 Total 0-10um STP,15.7,Milwaukee
24942,55,79,79,81102,43.060975,-87.913504,2020-01-06,13:00,2020-01-06,19:00,PM10 Total 0-10um STP,14.4,Milwaukee
24943,55,79,79,81102,43.060975,-87.913504,2020-01-06,14:00,2020-01-06,20:00,PM10 Total 0-10um STP,15.2,Milwaukee
24944,55,79,79,81102,43.060975,-87.913504,2020-01-06,15:00,2020-01-06,21:00,PM10 Total 0-10um STP,22.4,Milwaukee
24945,55,79,79,81102,43.060975,-87.913504,2020-01-06,16:00,2020-01-06,22:00,PM10 Total 0-10um STP,27.0,Milwaukee
24946,55,79,79,81102,43.060975,-87.913504,2020-01-06,17:00,2020-01-06,23:00,PM10 Total 0-10um STP,36.2,Milwaukee
24947,55,79,79,81102,43.060975,-87.913504,2020-01-06,18:00,2020-01-07,00:00,PM10 Total 0-10um STP,21.0,Milwaukee
24948,55,79,79,81102,43.060975,-87.913504,2020-01-06,19:00,2020-01-07,01:00,PM10 Total 0-10um STP,14.1,Milwaukee
24949,55,79,79,81102,43.060975,-87.913504,2020-01-06,20:00,2020-01-07,02:00,PM10 Total 0-10um STP,13.7,Milwaukee
24950,55,79,79,81102,43.060975,-87.913504,2020-01-06,21:00,2020-01-07,03:00,PM10 Total 0-10um STP,15.4,Milwaukee
24951,55,79,79,81102,43.060975,-87.913504,2020-01-06,22:00,2020-01-07,04:00,PM10 Total 0-10um STP,14.5,Milwaukee
24952,55,79,79,81102,43.060975,-87.913504,2020-01-06,23:00,2020-01-07,05:00,PM10 Total 0-10um STP,20.9,Milwaukee
24953,55,79,79,81102,43.060975,-87.913504,2020-01-07,00:00,2020-01-07,06:00,PM10 Total 0-10um STP,13.7,Milwaukee
24954,55,79,79,81102,43.060975,-87.913504,2020-01-07,01:00,2020-01-07,07:00,PM10 Total 0-10um STP,13.6,Milwaukee
24955,55,79,79,81102,43.060975,-87.913504,2020-01-07,02:00,2020-01-07,08:00,PM10 Total 0-10um STP,14.4,Milwaukee
24956,55,79,79,81102,43.060975,-87.913504,2020-01-07,03:00,2020-01-07,09:00,PM10 Total 0-10um STP,11.1,Milwaukee
24957,55,79,79,81102,43.060975,-87.913504,2020-01-07,04:00,2020-01-07,10:00,PM10 Total 0-10um STP,12.9,Milwaukee
24958,55,79,79,81102,43.060975,-87.913504,2020-01-07,05:00,2020-01-07,11:00,PM10 Total 0-10um STP,16.8,Milwaukee
24959,55,79,79,81102,43.060975,-87.913504,2020-01-07,06:00,2020-01-07,12:00,PM10 Total 0-10um STP,20.2,Milwaukee
24960,55,79,79,81102,43.060975,-87.913504,2020-01-07,07:00,2020-01-07,13:00,PM10 Total 0-10um STP,22.6,Milwaukee
24961,55,79,79,81102,43.060975,-87.913504,2020-01-07,08:00,2020-01-07,14:00,PM10 Total 0-10um STP,20.1,Milwaukee
24962,55,79,79,81102,43.060975,-87.913504,2020-01-07,09:00,2020-01-07,15:00,PM10 Total 0-10um STP,14.6,Milwaukee
24963,55,79,79,81102,43.060975,-87.913504,2020-01-07,10:00,2020-01-07,16:00,PM10 Total 0-10um STP,13.4,Milwaukee
24964,55,79,79,81102,43.060975,-87.913504,2020-01-07,11:00,2020-01-07,17:00,PM10 Total 0-10um STP,17.0,Milwaukee
24965,55,79,79,81102,43.060975,-87.913504,2020-01-07,12:00,2020-01-07,18:00,PM10 Total 0-10um STP,13.7,Milwaukee
24966,55,79,79,81102,43.060975,-87.913504,2020-01-07,13:00,2020-01-07,19:00,PM10 Total 0-10um STP,12.0,Milwaukee
24967,55,79,79,81102,43.060975,-87.913504,2020-01-07,14:00,2020-01-07,20:00,PM10 Total 0-10um STP,13.6,Milwaukee
24968,55,79,79,81102,43.060975,-87.913504,2020-01-07,15:00,2020-01-07,21:00,PM10 Total 0-10um STP,13.7,Milwaukee
24969,55,79,79,81102,43.060975,-87.913504,2020-01-07,16:00,2020-01-07,22:00,PM10 Total 0-10um STP,10.6,Milwaukee
24970,55,79,79,81102,43.060975,-87.913504,2020-01-07,17:00,2020-01-07,23:00,PM10 Total 0-10um STP,10.0,Milwaukee
24971,55,79,79,81102,43.060975,-87.913504,2020-01-07,18:00,2020-01-08,00:00,PM10 Total 0-10um STP,8.3,Milwaukee
24972,55,79,79,81102,43.060975,-87.913504,2020-01-07,19:00,2020-01-08,01:00,PM10 Total 0-10um STP,6.7,Milwaukee
24973,55,79,79,81102,43.060975,-87.913504,2020-01-07,20:00,2020-01-08,02:00,PM10 Total 0-10um STP,6.8,Milwaukee
24974,55,79,79,81102,43.060975,-87.913504,2020-01-07,21:00,2020-01-08,03:00,PM10 Total 0-10um STP,7.1,Milwaukee
24975,55,79,79,81102,43.060975,-87.913504,2020-01-07,22:00,2020-01-08,04:00,PM10 Total 0-10um STP,8.4,Milwaukee
24976,55,79,79,81102,43.060975,-87.913504,2020-01-07,23:00,2020-01-08,05:00,PM10 Total 0-10um STP,8.6,Milwaukee
24977,55,79,79,81102,43.060975,-87.913504,2020-01-08,00:00,2020-01-08,06:00,PM10 Total 0-10um STP,11.6,Milwaukee
24978,55,79,79,81102,43.060975,-87.913504,2020-01-08,01:00,2020-01-08,07:00,PM10 Total 0-10um STP,7.0,Milwaukee
24979,55,79,79,81102,43.060975,-87.913504,2020-01-08,02:00,2020-01-08,08:00,PM10 Total 0-10um STP,7.4,Milwaukee
24980,55,79,79,81102,43.060975,-87.913504,2020-01-08,03:00,2020-01-08,09:00,PM10 Total 0-10um STP,8.4,Milwaukee
24981,55,79,79,81102,43.060975,-87.913504,2020-01-08,04:00,2020-01-08,10:00,PM10 Total 0-10um STP,5.8,Milwaukee
24982,55,79,79,81102,43.060975,-87.913504,2020-01-08,05:00,2020-01-08,11:00,PM10 Total 0-10um STP,7.4,Milwaukee
24983,55,79,79,81102,43.060975,-87.913504,2020-01-08,06:00,2020-01-08,12:00,PM10 Total 0-10um STP,7.4,Milwaukee
24984,55,79,79,81102,43.060975,-87.913504,2020-01-08,07:00,2020-01-08,13:00,PM10 Total 0-10um STP,9.6,Milwaukee
24985,55,79,79,81102,43.060975,-87.913504,2020-01-08,08:00,2020-01-08,14:00,PM10 Total 0-10um STP,12.1,Milwaukee
24986,55,79,79,81102,43.060975,-87.913504,2020-01-08,09:00,2020-01-08,15:00,PM10 Total 0-10um STP,10.0,Milwaukee
24987,55,79,79,81102,43.060975,-87.913504,2020-01-08,10:00,2020-01-08,16:00,PM10 Total 0-10um STP,9.0,Milwaukee
24988,55,79,79,81102,43.060975,-87.913504,2020-01-08,11:00,2020-01-08,17:00,PM10 Total 0-10um STP,8.9,Milwaukee
24989,55,79,79,81102,43.060975,-87.913504,2020-01-08,12:00,2020-01-08,18:00,PM10 Total 0-10um STP,9.3,Milwaukee
24990,55,79,79,81102,43.060975,-87.913504,2020-01-08,13:00,2020-01-08,19:00,PM10 Total 0-10um STP,9.8,Milwaukee
24991,55,79,79,81102,43.060975,-87.913504,2020-01-08,14:00,2020-01-08,20:00,PM10 Total 0-10um STP,9.9,Milwaukee
24992,55,79,79,81102,43.060975,-87.913504,2020-01-08,15:00,2020-01-08,21:00,PM10 Total 0-10um STP,7.6,Milwaukee
24993,55,79,79,81102,43.060975,-87.913504,2020-01-08,16:00,2020-01-08,22:00,PM10 Total 0-10um STP,8.6,Milwaukee
24994,55,79,79,81102,43.060975,-87.913504,2020-01-08,17:00,2020-01-08,23:00,PM10 Total 0-10um STP,8.2,Milwaukee
24995,55,79,79,81102,43.060975,-87.913504,2020-01-08,18:00,2020-01-09,00:00,PM10 Total 0-10um STP,7.2,Milwaukee
24996,55,79,79,81102,43.060975,-87.913504,2020-01-08,19:00,2020-01-09,01:00,PM10 Total 0-10um STP,5.4,Milwaukee
24997,55,79,79,81102,43.060975,-87.913504,2020-01-08,20:00,2020-01-09,02:00,PM10 Total 0-10um STP,5.0,Milwaukee
24998,55,79,79,81102,43.060975,-87.913504,2020-01-08,21:00,2020-01-09,03:00,PM10 Total 0-10um STP,5.1,Milwaukee
24999,55,79,79,81102,43.060975,-87.913504,2020-01-08,22:00,2020-01-09,04:00,PM10 Total 0-10um STP,4.7,Milwaukee
25000,55,79,79,81102,43.060975,-87.913504,2020-01-08,23:00,2020-01-09,05:00,PM10 Total 0-10um STP,4.3,Milwaukee
25001,55,79,79,81102,43.060975,-87.913504,2020-01-09,00:00,2020-01-09,06:00,PM10 Total 0-10um STP,6.2,Milwaukee
25002,55,79,79,81102,43.060975,-87.913504,2020-01-09,01:00,2020-01-09,07:00,PM10 Total 0-10um STP,7.9,Milwaukee
25003,55,79,79,81102,43.060975,-87.913504,2020-01-09,02:00,2020-01-09,08:00,PM10 Total 0-10um STP,8.9,Milwaukee
25004,55,79,79,81102,43.060975,-87.913504,2020-01-09,03:00,2020-01-09,09:00,PM10 Total 0-10um STP,10.0,Milwaukee
25005,55,79,79,81102,43.060975,-87.913504,2020-01-09,04:00,2020-01-09,10:00,PM10 Total 0-10um STP,10.8,Milwaukee
