Index,Value
0,21.9
1,22.7
2,25.7
3,25.0
4,25.7
5,27.5
6,23.3
7,23.0
8,21.7
9,14.1
10,14.0
11,14.2
12,12.5
13,13.0
14,13.3
15,12.5
16,11.2
17,10.1
18,8.8
19,10.0
20,13.4
21,17.3
22,22.2
23,21.8
24,20.2
25,18.9
26,17.5
27,17.6
28,17.9
29,16.5
30,16.3
31,16.3
32,15.7
33,16.7
34,16.2
35,18.9
36,19.9
37,20.7
38,21.5
39,21.9
40,23.4
41,29.7
42,25.4
43,25.0
44,24.8
45,24.3
46,22.8
47,22.1
48,21.5
49,18.3
50,17.0
51,17.3
52,16.6
53,15.2
54,13.7
55,12.3
56,10.0
57,7.5
58,6.2
59,6.5
60,5.6
61,5.9
62,7.0
63,9.5
64,11.4
65,12.1
66,11.4
67,11.3
68,11.1
69,10.3
70,8.6
71,10.7
72,8.9
73,8.2
74,8.2
75,7.9
76,8.7
77,10.5
78,13.7
79,14.6
80,11.6
81,9.8
82,10.3
83,11.4
84,11.1
85,10.5
86,8.2
87,9.2
88,11.4
89,12.1
90,10.6
91,11.3
92,11.2
93,11.5
94,12.0
95,14.4
96,14.5
97,14.1
98,14.2
99,14.5
100,15.4
101,15.6
102,15.1
103,12.8
104,12.4
105,11.9
106,11.9
107,11.6
108,11.6
109,12.5
110,14.8
111,16.1
112,16.2
113,17.4
114,17.6
115,16.2
116,14.2
117,15.5
118,16.1
119,17.0
120,17.5
121,19.0
122,19.3
123,20.5
124,24.6
125,24.0
126,21.1
127,20.7
128,20.1
129,18.1
130,18.1
131,18.2
132,15.2
133,16.4
134,14.6
135,14.2
136,13.2
137,13.7
138,13.7
139,14.1
140,17.0
141,18.2
142,16.0
143,16.1
144,16.3
145,11.9
146,11.0
147,11.1
148,11.7
149,11.8
150,11.7
151,11.8
152,13.4
153,12.5
154,11.9
155,10.9
156,9.4
157,7.4
158,5.3
159,5.6
160,5.5
161,5.2
162,4.4
163,4.0
164,3.6
165,3.5
166,4.3
167,3.5
168,3.5
169,3.7
170,4.1
171,4.2
172,3.6
173,3.2
174,3.2
175,3.3
176,3.9
177,3.6
178,3.4
179,3.2
180,3.6
181,3.7
182,3.7
183,3.8
184,4.2
185,4.6
186,5.0
187,5.4
188,5.4
189,4.7
190,5.1
191,5.1
192,4.8
193,4.6
194,4.6
195,4.5
196,4.2
197,4.0
198,3.9
199,4.4
200,6.3
201,5.9
202,5.8
203,6.1
204,6.7
205,5.7
206,5.6
207,7.2
208,7.7
209,8.2
210,7.2
211,7.8
212,9.9
213,11.6
214,12.2
215,12.3
216,12.5
217,12.7
218,10.6
219,10.7
220,12.2
221,13.2
222,13.6
223,13.7
224,14.0
225,15.5
226,16.0
227,15.2
228,13.8
229,14.6
230,13.5
231,12.2
232,12.2
233,13.7
234,12.9
235,13.6
236,17.5
237,16.4
238,13.1
239,13.8
240,15.8
241,16.9
242,20.0
243,17.0
244,16.1
245,19.6
246,15.0
247,12.1
248,10.0
249,8.4
250,7.6
251,8.3
252,8.6
253,9.6
254,10.2
255,11.9
256,12.5
257,12.4
258,13.1
259,13.3
260,12.9
261,13.1
262,12.9
263,13.0
264,12.9
265,13.0
266,13.9
267,14.2
268,14.6
269,15.5
270,15.4
271,16.2
272,15.4
273,14.2
274,14.9
275,15.5
276,15.6
277,14.9
278,17.4
279,17.7
280,17.6
281,17.9
282,18.9
283,18.5
284,17.8
285,16.6
286,16.8
287,17.8
288,17.4
289,17.6
290,18.4
291,18.9
292,19.6
293,19.9
294,20.6
295,21.7
296,19.4
297,18.9
298,18.2
299,17.9
300,19.8
301,17.5
302,17.4
303,18.1
304,20.0
305,19.3
306,19.0
307,21.1
308,21.4
309,22.5
310,23.2
