Index,Value
0,34.7
1,31.1
2,33.1
3,31.5
4,31.0
5,33.0
6,30.1
7,28.1
8,21.3
9,18.2
10,19.7
11,18.4
12,17.6
13,18.2
14,15.3
15,11.8
16,10.9
17,9.9
18,7.9
19,7.6
20,9.6
21,14.8
22,16.3
23,21.7
24,26.1
25,25.9
26,23.8
27,22.9
28,21.0
29,20.0
30,17.9
31,17.4
32,19.5
33,20.6
34,21.7
35,21.3
36,18.9
37,17.7
38,18.7
39,18.8
40,20.4
41,21.3
42,22.0
43,24.9
44,26.3
45,26.4
46,26.0
47,25.8
48,27.0
49,24.4
50,24.3
51,23.2
52,22.1
53,20.2
54,19.3
55,18.6
56,18.3
57,15.3
58,13.1
59,10.7
60,8.9
61,11.3
62,12.4
63,12.3
64,13.1
65,13.8
66,14.5
67,14.6
68,14.5
69,12.7
70,14.7
71,14.1
72,14.1
73,11.8
74,14.6
75,13.3
76,11.4
77,12.8
78,11.4
79,11.3
80,9.9
81,9.0
82,9.1
83,11.4
84,13.4
85,11.8
86,10.7
87,11.4
88,11.3
89,15.5
90,16.8
91,11.0
92,12.0
93,12.7
94,14.0
95,16.6
96,17.0
97,17.0
98,16.7
99,15.7
100,15.9
101,17.7
102,17.7
103,19.2
104,18.5
105,18.4
106,18.3
107,18.5
108,18.2
109,18.7
110,16.9
111,16.8
112,18.7
113,21.3
114,19.8
115,20.5
116,22.0
117,25.1
118,27.7
119,26.5
120,24.1
121,22.0
122,24.3
123,22.7
124,19.6
125,19.0
126,19.6
127,21.9
128,25.3
129,24.5
130,21.9
131,19.9
132,24.2
133,23.5
134,20.8
135,22.3
136,20.0
137,18.4
138,18.5
139,19.0
140,21.4
141,21.4
142,18.6
143,17.3
144,18.0
145,17.3
146,16.3
147,14.6
148,14.2
149,13.9
150,16.2
151,15.3
152,14.9
153,15.5
154,16.3
155,14.9
156,13.8
157,13.5
158,12.2
159,11.3
160,7.3
161,6.4
162,6.5
163,6.3
164,5.3
165,4.9
166,4.3
167,3.9
168,3.7
169,3.8
170,3.7
171,3.9
172,4.1
173,4.4
174,4.4
175,4.0
176,3.6
177,4.4
178,5.6
179,6.5
180,7.7
181,6.2
182,6.9
183,7.3
184,5.0
185,5.1
186,5.3
187,5.3
188,6.4
189,6.4
190,6.5
191,7.1
192,6.8
193,6.4
194,6.3
195,6.1
196,5.8
197,6.5
198,7.0
199,7.6
200,8.0
201,7.5
202,7.8
203,6.1
204,4.4
205,5.3
206,5.3
207,5.6
208,5.7
209,7.1
210,8.0
211,8.8
212,10.0
213,9.5
214,8.6
215,9.2
216,10.1
217,11.8
218,11.9
219,12.4
220,12.7
221,12.4
222,12.6
223,12.2
224,13.3
225,14.1
226,14.2
227,14.4
228,14.9
229,16.5
230,16.1
231,16.4
232,19.4
233,19.8
234,19.8
235,19.6
236,17.7
237,12.9
238,13.4
239,16.7
240,21.9
241,25.0
242,24.7
243,19.7
244,19.8
245,16.2
246,17.4
247,18.6
248,16.1
249,14.3
250,11.9
251,10.3
252,9.2
253,9.3
254,9.7
255,10.9
256,10.5
257,12.0
258,12.9
259,12.9
260,12.8
261,13.1
262,12.3
263,12.4
264,13.0
265,13.9
266,14.5
267,15.6
268,16.4
269,16.7
270,17.2
271,17.8
272,17.9
273,19.0
274,19.3
275,18.4
276,18.6
277,19.1
278,17.8
279,17.3
280,17.6
281,19.2
282,18.8
283,18.3
284,18.1
285,18.1
286,18.8
287,18.5
288,18.8
289,19.3
290,19.4
291,18.8
292,18.8
293,19.1
294,18.7
295,18.8
296,18.4
297,17.6
298,17.7
299,18.4
300,17.1
301,16.4
302,18.1
303,20.1
304,20.6
305,21.3
306,20.9
307,19.7
308,18.7
309,19.6
310,20.2
311,23.2
312,24.4
313,26.4
314,24.0
315,23.8
316,25.0
317,26.1
318,26.8
319,25.7
320,24.0
321,25.0
322,18.1
323,16.4
324,18.6
325,19.9
326,20.3
327,18.9
328,18.1
329,18.3
330,19.3
331,19.9
332,14.1
333,16.8
334,15.3
335,13.7
336,9.1
337,7.2
338,7.1
339,8.2
340,8.3
341,8.4
342,8.9
343,10.4
344,10.0
345,8.4
346,7.9
347,7.9
348,9.4
349,10.7
350,9.8
351,9.5
352,10.4
353,11.2
354,13.0
355,9.2
356,14.0
357,9.6
358,9.1
359,8.0
360,7.7
361,7.4
362,7.2
363,7.0
364,5.7
365,4.5
366,5.0
367,6.9
368,8.3
369,9.1
370,8.5
371,8.3
372,7.2
373,6.3
374,6.5
375,6.0
376,5.0
377,5.0
