Index,Value
0,13.4
1,14.1
2,13.3
3,12.1
4,13.6
5,16.1
6,16.6
7,16.4
8,16.5
9,16.5
10,20.7
11,24.7
12,25.5
13,24.3
14,23.3
15,23.1
16,22.6
17,23.9
18,22.9
19,22.0
20,22.1
21,23.6
22,27.3
23,24.0
24,21.7
25,19.3
26,18.6
27,18.4
28,18.3
29,17.7
30,19.2
31,21.4
32,24.0
33,27.2
34,24.9
35,20.3
36,15.7
37,17.4
38,15.4
39,14.7
40,13.8
41,14.6
42,15.2
43,18.4
44,21.8
45,21.6
46,21.4
47,24.0
48,24.3
49,24.0
50,22.6
51,20.4
52,21.5
53,16.9
54,17.6
55,15.9
56,12.0
57,12.4
58,10.6
59,8.3
60,10.2
61,10.8
62,11.7
63,14.1
64,12.4
65,10.8
66,8.1
67,8.6
68,10.0
69,12.8
70,11.3
71,13.0
72,17.0
73,21.1
74,16.3
75,15.8
76,17.1
77,13.6
78,12.6
79,13.1
80,14.0
81,12.5
82,16.3
83,12.8
84,11.5
85,11.9
86,13.2
87,12.1
88,11.7
89,12.1
90,12.9
91,15.9
92,16.0
93,16.4
94,14.9
95,12.9
96,11.9
97,9.4
98,8.0
99,7.7
100,7.0
101,7.4
102,7.7
103,7.8
104,7.6
105,7.7
106,7.7
107,8.7
108,8.2
109,8.8
110,9.8
111,10.6
112,10.7
113,8.9
114,10.7
115,13.0
116,16.4
117,18.7
118,20.5
119,17.4
120,18.6
121,20.0
122,18.4
123,17.1
124,15.4
125,15.5
126,15.8
127,19.2
128,17.9
129,18.1
130,20.3
131,16.5
132,14.7
133,12.1
134,13.2
135,16.2
136,16.1
137,16.5
138,21.8
139,27.2
140,29.0
141,28.0
142,19.5
143,18.2
144,21.2
145,24.7
146,29.7
147,22.3
148,27.7
149,26.9
150,28.4
151,29.3
152,25.8
153,22.7
154,20.3
155,21.4
156,20.0
157,18.5
158,19.7
159,19.3
160,18.8
161,17.6
162,15.4
163,14.6
164,16.2
165,16.3
166,16.1
167,14.9
168,14.4
169,14.8
170,15.1
171,13.9
172,12.0
173,11.1
174,11.0
175,26.8
176,20.3
177,16.9
178,19.0
179,14.8
180,14.1
181,11.9
182,9.8
183,10.0
184,9.2
185,8.1
186,9.4
187,9.4
188,9.0
189,10.5
190,11.4
191,11.4
192,10.6
193,14.5
194,13.4
195,10.4
196,9.5
197,10.8
198,10.4
199,9.4
200,9.1
201,8.9
202,8.8
203,9.2
204,10.4
205,9.4
206,10.0
207,9.8
208,8.8
209,10.2
210,11.5
211,11.2
212,15.3
213,15.5
214,17.0
215,17.0
216,16.3
217,12.4
218,14.8
219,17.9
220,23.4
221,24.7
222,27.8
223,27.6
224,40.0
225,37.4
226,31.3
227,27.4
228,19.9
229,16.8
230,14.6
231,15.1
232,14.8
233,16.4
234,16.0
235,17.1
236,17.2
237,19.0
238,19.2
239,18.3
240,14.8
241,13.3
242,11.9
243,8.5
244,7.2
245,7.5
246,8.3
247,9.2
248,8.8
249,8.0
250,9.2
251,11.1
252,12.6
253,13.1
254,13.5
255,13.9
256,14.1
257,12.7
258,12.4
259,12.1
260,11.1
261,10.7
262,11.1
263,11.2
264,11.5
265,12.0
266,12.8
267,13.1
268,13.0
269,13.2
270,13.8
271,14.8
272,13.3
273,12.3
274,11.0
275,10.7
276,10.3
277,10.1
278,10.9
279,10.5
280,11.4
281,12.8
282,14.2
283,16.1
284,19.0
285,18.7
286,18.0
287,18.5
288,16.6
289,14.0
290,13.0
291,14.0
292,13.5
293,11.7
294,11.6
295,12.3
296,12.8
297,12.6
298,12.3
299,12.6
300,13.5
301,14.6
302,14.7
303,14.4
304,14.5
305,15.6
306,16.5
307,17.1
308,16.0
309,18.0
310,19.1
311,20.0
312,21.3
313,21.5
314,21.5
315,21.9
316,21.0
317,20.6
318,19.2
319,19.1
320,18.2
321,16.4
322,15.7
323,15.3
324,16.0
325,15.5
326,15.3
327,15.4
328,15.7
329,17.3
330,13.7
331,12.6
332,12.4
333,13.2
334,5.9
335,3.7
336,3.4
337,3.7
338,3.9
339,3.8
340,5.1
341,5.9
342,6.0
343,6.1
344,6.8
345,7.8
346,8.3
347,7.4
348,7.1
349,6.3
350,5.6
351,5.0
352,5.1
353,8.9
354,5.8
355,5.9
356,6.1
357,6.6
358,16.8
359,7.8
360,7.9
361,10.4
362,9.0
363,8.2
364,7.0
365,6.4
366,9.2
367,9.1
368,6.2
369,4.8
370,6.4
371,5.9
372,11.2
373,8.0
374,4.7
375,4.1
376,7.1
377,7.6
378,8.7
379,9.1
380,9.5
381,7.8
382,7.7
383,10.6
384,10.8
385,11.0
386,10.5
387,10.5
388,10.1
389,10.3
390,10.7
391,10.4
392,16.6
393,31.8
394,15.0
395,11.9
396,10.8
397,10.6
398,11.5
399,12.0
400,12.5
401,14.5
402,13.9
403,11.1
404,9.7
405,8.9
406,7.7
407,6.6
408,6.2
409,6.7
410,6.8
411,6.8
412,6.9
413,7.3
414,8.6
415,11.4
416,13.7
417,12.4
418,9.5
419,11.2
420,10.7
421,12.4
422,12.6
423,10.7
424,10.2
425,9.7
426,9.4
427,9.5
428,8.7
429,8.0
430,8.0
431,7.8
432,7.3
433,6.9
434,6.7
435,6.1
436,6.0
437,5.8
438,5.7
439,5.9
440,7.5
441,8.4
442,11.9
443,13.1
444,15.5
445,14.3
446,13.3
447,10.4
448,9.9
449,8.9
450,5.6
451,5.4
452,6.0
453,8.2
454,8.1
455,7.6
456,6.0
457,5.0
458,4.4
459,4.9
460,5.0
461,5.3
462,6.3
463,6.7
464,7.2
465,7.0
466,5.7
467,6.5
468,7.2
469,7.3
470,8.4
471,8.3
472,7.8
473,6.9
474,6.9
475,6.4
476,6.1
477,6.0
478,5.0
479,3.5
480,2.3
481,2.1
482,2.1
483,2.3
484,2.6
485,2.4
486,2.5
487,2.3
488,2.1
489,1.7
490,1.6
491,2.0
492,2.6
493,3.1
494,3.2
495,3.6
496,4.0
497,4.8
498,4.7
499,3.5
500,3.3
501,3.3
502,6.3
503,7.3
504,5.9
505,5.4
506,5.2
507,5.3
508,4.2
509,4.2
510,12.3
511,12.1
512,7.9
513,6.8
514,6.0
515,5.1
516,4.6
517,4.5
518,6.1
519,4.1
520,4.6
521,5.2
522,5.3
523,4.9
524,5.5
525,5.5
526,7.2
527,11.1
528,7.8
529,6.5
530,6.0
531,5.6
532,5.7
533,5.8
534,7.6
535,8.4
536,10.7
537,10.1
538,8.4
539,6.4
540,6.4
541,5.5
542,5.7
543,6.7
544,6.5
545,6.8
546,7.1
547,6.9
548,6.9
549,8.5
550,10.3
551,10.3
552,9.3
553,9.2
554,9.4
555,10.1
556,10.5
557,10.7
558,11.9
559,13.3
560,14.3
561,15.0
562,16.3
563,18.9
564,16.9
565,16.0
566,16.2
567,16.6
568,17.4
569,18.4
570,17.8
571,18.8
572,19.5
573,21.5
574,21.8
575,20.5
576,19.7
577,18.9
578,18.7
579,18.6
580,17.6
581,23.2
582,17.3
583,15.9
584,14.4
585,13.5
586,12.6
587,11.0
588,10.1
589,9.5
590,8.8
591,7.6
592,7.1
593,6.7
594,5.8
595,4.6
596,4.7
597,5.5
598,5.0
599,4.2
600,4.3
601,3.8
602,3.2
603,3.2
604,3.2
605,2.9
606,2.7
607,3.1
608,3.4
609,3.6
610,3.5
611,3.7
612,3.9
613,4.4
614,4.4
615,4.7
616,4.9
617,5.7
618,6.5
619,6.6
620,6.8
621,7.3
622,10.7
623,10.0
624,11.0
625,6.6
626,5.8
627,5.5
628,5.3
629,6.0
630,6.4
631,7.2
632,6.3
633,5.1
634,4.9
635,5.1
636,5.2
637,5.4
638,9.9
639,11.0
640,8.6
641,7.6
642,6.1
643,6.9
644,7.2
645,14.2
646,20.1
