Index,Value
0,11.9
1,11.4
2,12.6
3,12.7
4,13.1
5,14.0
6,14.7
7,13.5
8,13.9
9,13.9
10,15.1
11,15.7
12,19.0
13,27.4
14,17.1
15,16.4
16,15.5
17,15.8
18,15.8
19,17.0
20,18.5
21,18.5
22,19.5
23,19.6
24,19.3
25,19.1
26,18.9
27,18.7
28,19.3
29,19.2
30,18.0
31,17.9
32,18.0
33,18.8
34,20.7
35,22.5
36,21.2
37,11.0
38,11.3
39,11.2
40,11.2
41,11.6
42,12.1
43,15.6
44,15.6
45,17.2
46,13.8
47,12.1
48,11.2
49,10.0
50,7.9
51,8.6
52,6.8
53,7.1
54,6.8
55,5.7
56,6.4
57,6.4
58,6.5
59,7.5
60,8.0
61,9.9
62,13.4
63,14.4
64,14.9
65,15.9
66,15.6
67,14.6
68,12.4
69,12.0
70,15.2
71,19.7
72,18.8
73,19.0
74,17.3
75,16.6
76,15.7
77,19.2
78,23.0
79,26.7
80,25.1
81,21.2
82,19.1
83,12.8
84,11.3
85,11.3
86,11.4
87,11.4
88,12.8
89,12.9
90,15.0
91,15.7
92,17.1
93,15.3
94,18.9
95,21.0
96,17.0
97,19.3
98,21.0
99,16.7
100,16.4
101,16.0
102,17.5
103,16.6
104,15.9
105,19.9
106,16.7
107,15.3
108,22.6
109,14.2
110,14.5
111,11.1
112,10.2
113,14.5
114,12.7
115,11.8
116,17.9
117,20.4
118,12.9
119,13.8
120,14.9
121,16.8
122,22.6
123,27.1
124,27.2
125,26.2
126,26.3
127,28.4
128,27.4
129,27.3
130,27.1
131,27.3
132,29.5
133,32.3
134,30.0
135,30.3
136,30.5
137,30.1
138,29.9
139,29.8
140,28.5
141,27.9
142,26.7
143,25.5
144,23.4
145,20.1
146,20.3
147,23.1
148,25.8
149,26.3
150,27.0
151,28.5
152,30.3
153,31.1
154,32.4
155,29.8
156,27.0
157,25.3
158,23.0
159,21.0
160,24.5
161,22.1
162,20.5
163,19.3
164,20.6
165,17.2
166,12.8
167,9.0
168,9.1
169,9.3
170,9.8
171,10.2
172,10.5
173,10.6
174,11.2
175,10.9
176,10.6
177,11.0
178,10.4
179,12.7
180,12.6
181,11.3
182,8.7
183,8.8
184,8.6
185,9.3
186,9.4
187,10.3
188,10.8
189,11.2
190,10.9
191,9.9
192,8.9
193,9.4
194,9.6
195,8.8
196,8.2
197,8.3
198,8.8
199,9.1
200,8.7
201,8.5
202,9.1
203,9.1
204,8.6
205,8.6
206,10.4
207,14.4
208,15.5
209,15.6
210,17.6
211,15.8
212,16.7
213,25.9
214,30.1
215,28.4
216,27.7
217,25.8
218,29.3
219,30.4
220,29.5
221,20.1
222,22.7
223,16.4
224,14.2
225,13.2
226,13.8
227,15.0
228,19.0
229,22.7
230,24.3
231,25.2
232,25.1
233,23.8
234,22.5
235,22.7
236,17.8
237,13.3
238,13.8
239,12.6
240,11.2
241,9.7
242,7.8
243,6.6
244,6.4
245,7.4
246,7.8
247,7.1
248,6.9
249,6.9
250,7.2
251,8.5
252,9.9
253,10.4
254,11.9
255,11.8
256,11.9
257,12.0
258,12.3
259,13.0
260,13.0
261,13.7
262,14.8
263,14.7
264,15.1
265,15.0
266,15.2
267,15.5
268,14.5
269,15.0
270,14.7
271,15.2
272,11.5
273,10.1
274,10.6
275,10.7
276,10.7
277,10.8
278,10.3
279,10.1
280,11.7
281,12.5
282,13.4
283,13.6
284,14.2
285,15.1
286,16.6
287,17.4
288,18.0
289,18.1
290,18.7
291,18.6
292,18.9
293,18.4
294,18.7
295,19.1
296,17.4
297,15.6
298,14.2
299,14.9
300,15.1
301,15.6
302,16.5
303,18.7
304,22.4
305,19.3
306,16.7
307,17.7
308,17.5
309,18.1
310,19.2
311,19.3
312,20.1
313,20.9
314,21.1
315,21.2
316,20.8
317,21.8
318,22.3
319,22.7
320,23.0
321,22.9
322,21.6
323,21.4
324,22.3
325,22.2
326,20.2
327,19.9
328,19.9
329,23.1
330,19.9
331,17.6
332,15.9
333,17.1
334,15.7
335,11.2
336,9.9
337,11.1
338,12.6
339,9.0
340,6.4
341,6.4
342,6.6
343,6.2
344,7.0
345,6.2
346,4.8
347,5.1
348,4.5
349,4.7
350,6.1
351,7.5
352,7.1
353,9.5
354,10.4
355,9.1
356,9.0
357,6.9
358,6.8
359,6.4
360,5.7
361,4.0
362,2.8
363,3.3
364,3.8
365,4.5
366,4.9
367,5.0
368,4.4
369,4.1
370,2.2
371,1.9
372,2.6
373,3.2
374,3.9
375,4.3
376,4.8
377,5.6
378,5.1
379,4.7
380,5.3
381,5.5
382,5.6
383,5.2
384,5.8
385,6.6
386,6.5
387,7.8
388,9.3
389,12.8
390,12.2
391,10.3
392,8.4
393,9.2
394,9.3
395,10.0
396,7.1
397,8.2
398,9.4
399,9.4
400,9.4
401,9.9
402,12.5
403,12.5
404,11.6
405,10.9
406,10.4
407,10.9
408,10.3
409,10.4
410,12.0
411,14.7
412,15.8
413,10.9
414,6.1
415,5.7
416,5.8
417,6.3
418,9.0
419,9.3
420,9.8
421,9.2
422,9.1
423,9.4
424,9.9
425,9.0
426,8.9
427,9.1
428,9.5
429,8.6
430,7.6
431,6.7
432,6.2
433,5.7
434,5.5
435,5.4
436,5.5
437,5.6
438,5.7
439,6.0
440,6.0
441,5.3
442,5.2
443,4.7
444,5.4
445,3.8
446,7.9
447,6.9
448,3.6
449,4.4
450,5.1
451,4.3
452,4.9
453,4.8
454,4.9
455,4.8
456,5.0
457,5.4
458,5.1
459,5.5
460,6.0
461,6.4
462,6.7
463,5.7
464,6.2
465,6.4
466,6.7
467,6.9
468,7.1
469,6.8
470,6.3
471,5.5
472,5.0
