Index,Value
0,12.9
1,12.8
2,13.5
3,13.0
4,13.1
5,13.7
6,15.2
7,14.9
8,14.3
9,16.1
10,17.0
11,17.0
12,16.5
13,15.7
14,15.6
15,15.9
16,16.7
17,19.1
18,18.8
19,20.0
20,21.5
21,24.3
22,23.3
23,23.1
24,25.9
25,23.3
26,25.1
27,24.3
28,23.8
29,24.6
30,26.4
31,29.0
32,24.2
33,28.9
34,30.6
35,34.6
36,34.3
37,36.6
38,32.4
39,34.1
40,33.6
41,32.3
42,29.1
43,22.0
44,17.7
45,15.4
46,14.8
47,13.0
48,12.8
49,12.5
50,11.6
51,10.6
52,8.1
53,7.6
54,8.5
55,8.6
56,8.5
57,12.0
58,15.7
59,12.8
60,11.1
61,11.8
62,11.0
63,10.5
64,12.1
65,12.3
66,17.8
67,20.7
68,20.5
69,21.4
70,22.4
71,20.4
72,20.2
73,19.9
74,21.2
75,24.8
76,27.2
77,29.5
78,27.2
79,20.8
80,19.9
81,20.9
82,19.6
83,17.3
84,16.3
85,12.8
86,12.9
87,15.7
88,17.7
89,19.8
90,21.1
91,19.7
92,21.6
93,22.2
94,22.9
95,23.1
96,23.8
97,21.1
98,18.9
99,19.5
100,21.6
101,22.2
102,21.3
103,23.4
104,24.7
105,39.0
106,26.5
107,17.1
108,23.9
109,20.6
110,22.9
111,26.1
112,26.4
113,22.6
114,21.2
115,27.6
116,18.8
117,18.5
118,19.5
119,18.1
120,19.0
121,22.3
122,19.0
123,16.3
124,15.9
125,15.4
126,16.0
127,16.9
128,17.5
129,17.7
130,18.9
131,19.6
132,20.2
133,21.2
134,22.4
135,26.1
136,28.1
137,25.6
138,25.2
139,24.7
140,31.4
141,34.7
142,32.8
143,31.2
144,28.8
145,29.8
146,26.2
147,23.7
148,19.2
149,18.1
150,18.6
151,18.8
152,19.0
153,18.8
154,15.0
155,14.1
156,15.9
157,12.4
158,12.3
159,16.5
160,10.1
161,10.9
162,11.4
163,11.4
164,11.2
165,10.9
166,9.7
167,10.2
168,9.8
169,10.0
170,10.6
171,10.6
172,10.5
173,12.8
174,12.1
175,12.0
176,13.6
177,14.7
178,15.9
179,14.6
180,12.5
181,9.3
182,11.0
183,9.3
184,7.4
185,6.4
186,5.7
187,6.4
188,7.1
189,6.6
190,6.6
191,6.9
192,9.0
193,12.0
194,12.6
195,10.2
196,9.3
197,10.2
198,13.8
199,12.4
200,12.5
201,14.0
202,12.4
203,11.3
204,12.8
205,13.3
206,13.6
207,14.8
208,18.7
209,21.7
210,21.0
211,23.5
212,22.6
213,22.1
214,22.2
215,23.9
216,19.1
217,18.3
218,18.5
219,15.6
220,12.1
221,11.5
222,12.1
223,13.7
224,15.5
225,17.8
226,19.4
227,21.0
228,21.1
229,21.8
230,22.3
231,21.2
232,18.5
233,16.6
234,15.3
235,18.7
236,21.5
237,19.7
238,16.9
239,15.7
240,15.4
241,16.6
242,16.4
