Index,Value
0,22.5
1,23.9
2,24.5
3,23.8
4,21.2
5,23.8
6,26.5
7,23.2
8,25.2
9,28.3
10,31.3
11,28.1
12,22.1
13,20.9
14,21.2
15,19.5
16,24.8
17,27.3
18,29.7
19,28.8
20,28.4
21,25.4
22,23.4
23,21.3
24,22.1
25,21.1
26,20.7
27,19.4
28,18.0
29,20.2
30,23.0
31,22.0
32,22.1
33,18.7
34,14.4
35,13.3
36,13.5
37,13.1
38,13.6
39,14.8
40,17.1
41,19.2
42,23.6
43,30.7
44,28.9
45,32.4
46,30.3
47,29.4
48,28.4
49,27.2
50,28.2
51,28.1
52,23.6
53,24.6
54,20.7
55,13.8
56,9.1
57,8.7
58,8.8
59,11.8
60,12.5
61,10.4
62,11.2
63,9.5
64,9.6
65,11.0
66,9.8
67,7.5
68,8.5
69,7.7
70,6.6
71,7.4
72,6.4
73,7.7
74,6.6
75,7.0
76,9.0
77,12.1
78,11.6
79,10.8
80,11.1
81,10.0
82,9.1
83,8.3
84,10.9
85,12.2
86,9.3
87,9.7
88,9.9
89,11.1
90,12.9
91,13.1
92,13.7
93,16.2
94,18.0
95,16.9
96,15.0
97,15.6
98,18.5
99,19.8
100,18.6
101,18.5
102,18.5
103,17.9
104,17.6
105,17.2
106,17.0
107,16.9
108,16.7
109,16.3
110,15.3
111,15.6
112,15.8
113,15.9
114,18.2
115,16.6
116,17.1
117,16.1
118,15.7
119,15.8
120,16.1
121,16.1
122,14.0
123,12.1
124,11.6
125,11.2
126,12.7
127,13.6
128,15.8
129,12.4
130,13.7
131,15.0
132,15.5
133,15.7
134,16.8
135,16.6
136,18.3
137,18.3
138,19.1
139,22.7
140,28.7
141,30.0
142,29.4
143,31.1
144,25.0
145,20.1
146,18.6
147,18.7
148,12.2
149,10.5
150,12.1
151,16.1
152,17.4
153,16.5
154,15.5
155,15.3
156,15.1
157,14.4
158,12.9
159,10.9
160,9.8
161,9.6
162,6.5
163,4.4
164,4.5
165,5.5
166,5.4
167,5.6
168,5.7
169,5.6
170,6.6
171,6.1
172,5.5
173,5.2
174,5.1
175,5.6
176,5.0
177,6.7
178,5.8
179,4.7
180,7.6
181,8.3
182,9.7
183,10.2
184,9.3
185,7.2
186,6.6
187,5.8
188,5.3
189,5.4
190,5.1
191,4.8
192,5.1
193,5.7
194,6.2
195,5.9
196,6.3
197,6.7
198,6.3
199,5.9
200,5.5
201,5.0
202,4.4
203,3.3
204,4.1
205,4.8
206,5.1
207,4.7
208,5.4
209,6.5
210,7.2
211,9.3
212,12.4
213,13.4
214,16.8
215,16.1
216,16.3
217,14.5
218,13.5
219,13.0
220,13.1
221,15.6
222,15.7
223,17.0
224,21.2
225,20.3
226,14.2
227,11.9
228,12.7
229,11.4
230,12.4
231,13.1
232,11.8
233,13.1
234,13.8
235,13.5
236,13.8
237,13.1
238,14.0
239,18.7
240,21.7
241,21.1
242,18.5
243,17.2
244,20.3
245,21.5
246,16.4
247,11.4
248,9.2
249,7.9
250,7.7
251,8.1
252,8.5
253,9.2
254,10.3
255,11.0
256,12.4
257,13.7
258,12.5
259,12.6
260,13.2
261,13.2
262,13.3
263,13.8
264,14.0
265,14.2
266,14.3
267,14.5
268,14.5
269,14.9
270,15.3
271,16.7
272,16.6
273,19.6
274,22.5
275,19.9
276,20.0
277,21.5
278,16.7
279,15.8
280,18.5
281,20.5
282,23.0
283,21.1
284,17.1
285,17.3
286,18.3
287,19.4
288,20.7
289,21.0
290,20.4
291,21.0
292,22.0
293,22.2
294,22.5
295,22.2
296,21.9
297,21.1
298,21.7
299,21.6
300,20.0
301,21.8
302,20.3
303,19.4
304,19.6
305,23.4
306,23.5
307,22.7
308,22.7
309,22.1
310,23.7
311,25.2
312,26.7
313,26.9
314,25.5
315,24.2
316,23.9
317,24.7
318,24.5
319,25.5
320,23.5
321,23.2
322,24.9
323,23.3
324,18.3
325,16.6
326,16.4
327,19.4
328,22.1
329,21.0
330,20.3
331,19.9
332,11.1
333,6.7
334,7.4
335,10.0
336,7.7
337,6.0
338,5.8
339,5.0
340,5.3
341,5.5
342,5.0
343,6.1
344,7.5
345,8.9
346,8.4
347,6.6
348,6.6
349,7.2
350,7.6
351,6.5
352,4.1
353,4.7
354,4.6
355,5.1
356,5.2
357,4.7
358,4.8
359,5.1
360,5.0
361,5.1
362,5.6
363,5.9
364,7.0
365,8.1
366,7.8
367,7.4
368,6.1
369,4.9
370,3.8
371,3.3
372,3.2
373,3.3
374,3.1
375,3.0
376,3.2
377,3.2
378,2.5
379,1.8
380,2.5
381,3.6
382,3.5
383,3.1
384,3.1
385,3.2
386,2.5
387,2.2
388,1.9
389,2.5
390,2.8
391,3.1
392,3.1
393,2.0
394,2.7
395,3.3
396,3.3
397,3.2
398,2.9
399,2.8
400,2.8
401,4.0
402,4.8
403,3.9
404,4.9
405,5.9
406,6.1
407,6.5
408,4.1
409,3.6
410,3.4
411,3.6
412,4.7
413,4.8
414,5.0
415,5.6
416,6.2
417,6.0
418,5.8
419,6.1
420,7.4
421,8.2
422,12.4
423,13.2
424,10.2
425,5.5
426,5.1
427,5.8
428,6.4
429,6.5
430,6.5
431,5.9
432,6.3
433,5.8
434,5.6
435,6.1
436,6.9
437,10.0
438,13.5
439,13.0
440,9.7
441,10.6
442,11.9
443,11.2
444,8.4
445,7.2
446,8.1
447,9.1
448,7.4
449,9.9
450,9.4
451,6.2
452,4.2
453,4.7
454,5.3
455,5.0
